診療科名,タイプ,診療科コード,表示順,評価対象,備考
泌尿器科,外科系,U,1,TRUE,
眼科,外科系,E,2,TRUE,
産婦人科,外科系,G,3,TRUE,
整形外科,外科系,OR,4,TRUE,
耳鼻咽喉科,外科系,ENT,5,TRUE,
消化器内科,内科系,GI,6,TRUE,
乳腺外科,外科系,BR,7,TRUE,
循環器内科,内科系,CV,8,TRUE,
呼吸器内科,内科系,RS,9,TRUE,
総合内科,内科系,GM,10,TRUE,
皮膚科,外科系,DM,11,TRUE,
一般消化器外科,外科系,GS,12,TRUE,
リウマチ膠原病内科,内科系,RH,13,TRUE,
歯科口腔外科,外科系,OS,14,TRUE,
放射線治療科,その他,RT,15,TRUE,
血液内科,内科系,HE,16,TRUE,
腎内科,内科系,NE,17,TRUE,
入退院支援センター,その他,AD,18,FALSE,運用系
小児科,内科系,PD,19,TRUE,
脳神経内科,内科系,NR,20,TRUE,
形成外科,外科系,PS,21,TRUE,
外来手術室,その他,OT,22,FALSE,運用系
救急科,その他,ER,23,TRUE,
麻酔科,その他,AN,24,FALSE,運用系
内科,内科系,IM,25,TRUE,
メンタルケア科,内科系,MN,26,TRUE,
脳神経外科,外科系,NS,27,TRUE,
心臓血管外科,外科系,CS,28,TRUE,
呼吸器外科,外科系,RS2,29,TRUE,
臨床腫瘍科,内科系,ON,30,TRUE,
アレルギー科,内科系,AL,31,TRUE,
糖尿病内分泌内科,内科系,DB,32,TRUE,
